EN-US	There is no one more suitable to determine how good a quarterback is than the guys who line up against him on Sundays.
EN-US	Peter Vallone yesterday stepped on the accelerator of his campaign, stumping with singer Tony Bennett, making a surprise appearance with the teachers-union boss, and taking the wraps off a new commercial smacking his opponents.
EN-GB	NEWPORT County AFC’s chances of unearthing future first team stars has been handed a significant boost with the status of the club’s academy receiving an upgrade.
EN-GB,EN-US	HAMAR, Norway -- Welcome to the Rink of Dreams. If you build it, they will come. Welcome to the very temporary home of the world's greatest collection of masters figure skaters.
EN-GB	IT SEEMS very un- Saintslike, almost unnatural, to go into the last day of the season with nothing to play for.
EN-US	ROBERT BOYETT, who made his fortune over the last three decades producing some of television’s most successful sitcoms, has gone to contract on his spacious apartment in the Sherry-Netherland Hotel. Boyett, whose credits include “Happy Days”...
EN-GB	DOES knowledge always come with a price? That’s perhaps one of the questions that we should ask ourselves, as Christopher Marlowe’s classic play Dr Faustus is performed at Titchfield Festival Theatre from Wednesday.
EN-GB	With the city council in the process of buying the freehold of Stonebow House, there is talk it could be redeveloped. But how likely is that – and, if it is, what should be put in its place? STEPHEN LEWIS reports.
EN-US	COOPERSTOWN, N.Y. — Reggie Jackson was nearly 3,000 miles away, embedded with the Yankees in Oakland, Calif. But even in absentia, Mr. October was the elephant in the middle of town yesterday as baseball royalty gathered for tomorrow’s induction of Reds shortstop Barry Larkin and Cubs third baseman Ron Santo into the Baseball Hall of Fame.
EN-US	After having made 120 solid chocolate ice hockey players in one week for the National Hockey League All-Star Game festivities two years ago, nothing seems to daunt new baker and confectioner Gerhard Greub, not even the grueling 14-hour days he's investing in his new bakery in Lake Forest's Market Square.
EN-GB,EN-US	Russians hold their circus in the same regard as the ballet, opera and theater. More than pure entertainment, their circuses are considered an art form.
EN-US	TAMPA, Fla. -- It took 30 years and no small amount of heartache and tears,but Baltimore is on top of the football world once again.
EN-GB	LUKE Phillips’s pivotal strike earned Hayward Saturday Premier Division heavyweights Hamworthy Recreation a place in the last four of the MA Hart Pickford Cup.
EN-GB	JOHN Snape’s Worcester City future is unlikely to be rubber stamped until the summer but the boss has declared: “We will have to be patient next season.”
EN-GB	BLENHEIM Palace and Wallingford Food Festival are among tourist attractions across Oxfordshire which have been shortlisted for a prestigious award.
EN-US	WORCESTER'S High Street has been shortlisted in this year’s Great British High Street Awards 2018, putting it in the running to win a £15,000 prize - and you can play a part in making it win.
EN-US	Hold a $20 bill up to the light and you'll see, over on the left-hand side, a little strip, a "security thread" with the words "twenty USA" written on it. The government says it's there to make it tougher on counterfeiters.
EN-GB,EN-US	Thirty six million people live with HIV worldwide and there are more than a million AIDS related deaths every year. Dr Zak discusses advances in one of the biggest health problems of our time
EN-US	TOKYO -- Depending on one's point of view, Takeo Tsukada is either the culprit responsible for an escalating trade crisis between the United States and Japan or an innocent bystander caught in the cross-fire.
EN-GB	PAUL RICHARD FLAWN, aged 50 and of Holdenhurst Road, Bournemouth, admits failing to surrender to custody on July 30. Fined £25, to pay a £30 surcharge.
EN-GB	Miranda Sykes, the acclaimed singer and bassist with ‘Show of Hands’ returns in 2019 with a new album and UK tour.
EN-US	Dr. Enrique Lujan, who came to Chicago from Bolivia in the 1960s to complete his medical training, headed the pediatrics department at St. Elizabeth Hospital for more than 30 years.
EN-GB	THE artist behind Southampton’s giant illuminated Spitfire towering 160ft into the city skyline has welcomed the public debate on the issue.
EN-GB,EN-US	A DATING and relationships coach is drawing on her own experience to run seaside retreats where people can “learn to fall in love”.
EN-US	Marilyn Manson confesses he would “definitely fornicate with” pop superstar Madonna in a new interview.
EN-GB	STILETTOS are being swapped for hiking books as two York women prepare for a charity trek up Kilimanjaro.
EN-GB	Oxford broadcasting legend and the man behind Headington's Shark House, Bill Heine continues his account of his ongoing battle with leukaemia
EN-GB,EN-US	A DOG owner who had to hunt for a food which would not upset her puppy’s stomach ended up creating a brand of her own.
EN-GB	Bristol based multi-instrumentalist producer and visual artist She Makes War has released her new single ‘Devastate Me’, taken from her upcoming album Brace For Impact.
EN-US	Howard County school board candidates have reported their final fundraising efforts before next week’s general election and they range from zero to $8,000.
EN-GB	This Sunday, Aug. 19, brunch seekers will have two new options to flock to for the delightful, acceptably boozy daytime meal that is often saved for the weekends.
EN-US	Fears of another nor'easter type storm that could have dampened Thanksgiving week have dissipated, with warmth and sunny skies in the forecast, instead.
EN-GB	FOR anyone who has sat through the endearing ordeal that is a primary school nativity play, you’ll be well aware of the organised chaos they can be.
EN-GB	WOMEN of childbearing age diagnosed with cancer can have their fertility preserved through a pioneering procedure offered by specialists in Southampton.
EN-US	After weeks of shocking accusations, hardball politics and rowdy Capitol protests, a pair of wavering senators declared Friday they will back Brett Kavanaugh's Supreme Court confirmation, all but guaranteeing the deeply riven Senate will elevate the conservative jurist to the nation's highest court on Saturday.
EN-GB	A NEW media centre offering inspiration, motivation and learning for businesses in Worcestershire has opened in the city.
EN-GB,EN-US	“I almost didn’t make it here,” Leslie Odom Jr. said in his Tony acceptance speech in 2016. There’s a story behind that, and he tells it here.
EN-US	Robb Walter tossed a one-hitter for his third win as Jurek Post beat Pignataro, 11-0 in a AAABA game Thursday at Delaware Park.
EN-US	The springtime airwaves, usually devoid of political ads, are saturated with ads of congressional candidates as the campaign for Republican Chris Lee's vacant seat gets into full swing for the May 24 special election.
EN-US	John Jacob Oliver Jr., chairman of the board and publisher of the Afro-American newspaper, graduate of Fisk University and the Columbia law school, attorney and past president of the Maryland-Delaware-D.C. Press Association, now can add a new title to his name:
EN-GB	A SUPERB 146-run stand between Muhammad Ayub and Fergus Nutt steered Oxford to a three-wicket win at home to champions Henley in the Home Counties Premier League.
EN-GB	JON Meades struck against his former side as Oxford United stayed in the relegation battle in Sky Bet League One with a defeat at AFC Wimbledon.
EN-US	America's most controversial courtroom has no need for a gavel and no place for a gallery. In fact, situated on the third floor of the federal courthouse in Washington, D.C., it isn't so much a courtroom as an office with thick walls designed to defeat electronic surveillance.
EN-GB	THE future generations commissioner for Wales, Sophie Howe, has called on the Welsh Government to be more ambitious with its investment in transport.
EN-US	If you’ve been in the Apple Store in the upscale Highland Village Shopping Center, you know that it’s beautiful, sunny, always crowded and very, very loud. In fact, the decibel level is often one of the first things people notice when walking into the store for the first time.
EN-US	BOULDER — The upside of potential back-to-back basketball coaching vacancies is that University of Colorado athletic director Mike Bohn has the search manual ready.
EN-GB,EN-US	THE Spice Girls are looking for dancers to join them for their Spice World UK Stadium Tour this year - and you can be a part of it!
EN-GB	Veteran children’s author Judith Kerr has warned adults who stare at their devices risk missing out on interesting events.
EN-US	A South Beach man might have to relinquish his role of pimp if he is convicted on federal prostitution charges.
EN-US	For decades, the editorial page of The New York Times has served as the propaganda arm of the Democratic Party. But in a sign of the left’s panic over Donald Trump, the Times has moved beyond pushing an agenda to becoming a political hack, dirty tricks and all.
EN-US	Maryland lost its third prominent thoroughbred trainer this month when H. Steward Mitchell died Tuesday of heart failure at the age of 81. Mitchell's death followed that of Henry S. Clark, 95, on Feb. 6, and Richard "Dick" Dutrow, 61, on Feb. 19.
EN-GB	POOLE sailor Pip Hare is in training to take on one of the most extreme sporting events on the planet.
EN-US	Florence Frail, a golden-haired Olde North Charleston community leader, brought five wads of tissue to last month's announcement of an environmentally geared plan to revive 3,000 acres in the heart of North Charleston.
EN-US	Baltimore County is the latest local jurisdiction wading into the heated issue of immigration policy, with a public hearing scheduled Tuesday on a bill that would call for screening county jail inmates for immigration violations.
EN-US	Hey, burger freaks: Were you planning to wait two hours-plus cooling your heels for Au Cheval’s crazypants patty? Hold your horses.
EN-GB	THE day he was shot dead in New York, John Lennon found time to phone his Aunt Mimi in Sandbanks to discuss his plans to visit her.
EN-GB,EN-US	HOOKER Joe Taufete’e has expressed his desire to move his USA-based family to Worcester as he plans to make the city his home.
